Application Ref,Decision,Score,Risk Level,Approved Amount,Approved Term,Monthly Repayment,Total Repayable,Monthly Income,Monthly Expenses,Monthly Disposable,Post-Loan Disposable,Months Observed,Overdraft Days per Month,Income Stability Score,Risk Flags,Decline Reasons,Affordability Score,Income Quality Score,Account Conduct Score,Risk Indicators Score
Record_651189,REFER,64.7,Low,0,0,0,0,4403.05,2737.06,1665.99,1549.32,12,24.67,79,Active HCSTC (90d): 8 lenders; Failed payments (45d): 2; Overdraft: 296 days,,30,26.2,5.5,3
Record_651330,REFER,72.3,Low,0,0,0,0,6014.29,3525.73,2488.56,2371.89,13,12.77,68.5,Overdraft: 166 days,,30,23.8,15.5,3
Record_651384,APPROVE,79.3,Low,350,6,116.67,700,8662.9,4390.05,4272.85,4156.18,13,1.92,51.3,Overdraft: 25 days,,30,17.8,19.5,12
Record_651813,REFER,68.8,Low,0,0,0,0,2711.54,1761.11,950.43,833.76,13,2.15,69.7,Gambling: 2.5% of income; Active HCSTC (90d): 4 lenders; Overdraft: 28 days,,30,21.3,19.5,-2
Record_652035,REFER,76.3,Low,0,0,0,0,8415.11,8015.91,399.2,282.53,13,17.31,62.9,Active HCSTC (90d): 16 lenders; Overdraft: 225 days,,30,23.8,15.5,7
Record_652097,APPROVE,72.3,Low,350,5,140,700,5263.62,3216.55,2047.08,1907.08,13,5.46,93.1,Active HCSTC (90d): 2 lenders; Overdraft: 71 days,,30,31.3,5.5,5.5
Record_652422,REFER,57.8,High,0,0,0,0,4726.66,1799.04,2927.63,2810.96,13,10.23,30.5,Active HCSTC (90d): 3 lenders; Overdraft: 133 days,,30,9.3,15.5,3
Record_652452,REFER,82.2,Low,0,0,0,0,3518.31,3039.55,478.76,362.1,12,1.5,94.5,Active HCSTC (90d): 6 lenders; Overdraft: 18 days,,30,27.7,19.5,5
Record_652717,REFER,79.8,Low,0,0,0,0,3984.26,3670.75,313.5,196.84,13,1.46,87.8,Active HCSTC (90d): 6 lenders; Overdraft: 19 days,,28,29.3,19.5,3
Record_653168,REFER,72.2,Low,0,0,0,0,7494.69,2720.29,4774.4,4657.73,13,11.77,64.1,Active HCSTC (90d): 2 lenders; Overdraft: 153 days,,30,19.7,15.5,7
Record_653208,REFER,77.8,Low,0,0,0,0,5889.16,3398.83,2490.33,2373.66,13,11.23,81.7,Gambling: 3.4% of income; Active HCSTC (90d): 2 lenders; Overdraft: 146 days,,30,31.8,15.5,0.5
Record_653374,REFER,68.3,Low,0,0,0,0,8290.01,2898.73,5391.28,5274.61,13,4.77,66.1,Gambling: 6.5% of income; Active HCSTC (90d): 2 lenders; Overdraft: 62 days,,30,23.8,15.5,-1
Record_653482,REFER,63.8,Low,0,0,0,0,1949.38,1840.24,109.14,-7.53,12,19.83,84,Active HCSTC (90d): 2 lenders; Overdraft: 238 days; High DTI: 49.0%,,12,29.3,15.5,7
Record_653490,APPROVE,69.3,Low,350,5,140,700,8940.5,1539.78,7400.72,7260.72,13,5.54,43.7,Overdraft: 72 days,,30,11.8,15.5,12
Record_653784,REFER,80.3,Low,0,0,0,0,6531.02,6104.99,426.03,309.37,13,12.77,93.6,Active HCSTC (90d): 16 lenders; Overdraft: 166 days,,28,31.8,15.5,5
Record_653786,APPROVE,82.3,Low,350,6,116.67,700,5494.95,4573.85,921.09,804.42,13,18.38,92.3,Active HCSTC (90d): 1 lenders; Overdraft: 239 days,,30,31.8,15.5,5
Record_653851,REFER,84.8,Low,0,0,0,0,4790.84,3380.77,1410.07,1293.4,13,18.69,87.6,Active HCSTC (90d): 2 lenders; Overdraft: 243 days,,30,31.8,15.5,7.5
Record_653902,REFER,46.3,High,0,0,0,0,5125.59,5942.8,-817.21,-933.88,13,6.31,48.7,Active HCSTC (90d): 6 lenders; Overdraft: 82 days,,12,11.8,15.5,7
Record_654004,REFER,80.3,Low,0,0,0,0,3569.29,2026.39,1542.9,1426.23,13,2,72.9,Active HCSTC (90d): 8 lenders; Overdraft: 26 days,,30,27.8,19.5,3
Record_654237,REFER,70.3,Low,0,0,0,0,4070.1,3360.24,709.86,593.2,13,23.15,85.8,Active HCSTC (90d): 13 lenders; Failed payments (45d): 1; Overdraft: 301 days; High DTI: 43.5%,,26,31.8,5.5,7
Record_654435,REFER,78.3,Low,0,0,0,0,3973.03,3309.48,663.54,546.88,13,5.54,75.1,Active HCSTC (90d): 8 lenders; Overdraft: 72 days,,28,27.8,15.5,7
Record_654463,REFER,60.7,Low,0,0,0,0,4450.79,3408.51,1042.28,925.61,13,0.15,52.7,Active HCSTC (90d): 8 lenders; Failed payments (45d): 5,,28,16.2,9.5,7
Record_654763,APPROVE,91.3,Low,350,6,116.67,700,8417.21,2416.11,6001.1,5884.43,13,1.46,91.6,Overdraft: 19 days,,30,31.8,19.5,10
Record_654812,REFER,59.3,High,0,0,0,0,15064.19,6211.33,8852.86,8736.19,13,11,40.7,Active HCSTC (90d): 2 lenders; Overdraft: 143 days,,30,9.3,15.5,4.5
Record_654872,REFER,67.2,Low,0,0,0,0,2713.88,2706.02,7.86,-108.81,13,0.85,86.1,Active HCSTC (90d): 3 lenders; Overdraft: 11 days,,12,30.2,19.5,5.5
Record_654886,APPROVE,74.7,Low,350,6,116.67,700,4693.53,3673.85,1019.67,903,13,19.62,64.9,Active HCSTC (90d): 1 lenders; Overdraft: 255 days,,30,22.2,15.5,7
Record_655260,APPROVE,86.3,Low,350,6,116.67,700,2598.59,1881.74,716.86,600.19,13,16.69,82.9,Active HCSTC (90d): 1 lenders; Overdraft: 217 days,,30,31.8,15.5,9
Record_655265,APPROVE,82.8,Low,350,6,116.67,700,6570.58,2701.67,3868.91,3752.24,13,15.62,71.8,Overdraft: 203 days,,30,26.8,15.5,10.5
Record_655280,REFER,72.7,Low,0,0,0,0,6149.69,4211.89,1937.79,1821.13,13,16,80.3,Active HCSTC (90d): 4 lenders; Failed payments (45d): 2; Overdraft: 208 days,,30,30.2,5.5,7
Record_655476,REFER,84.3,Low,0,0,0,0,5106.82,4193.6,913.22,796.56,13,2.15,89,Active HCSTC (90d): 17 lenders; Overdraft: 28 days,,30,31.8,19.5,3
Record_655706,REFER,86.3,Low,0,0,0,0,9834.12,8462.23,1371.88,1255.22,13,4.38,81.1,Active HCSTC (90d): 2 lenders; Overdraft: 57 days,,30,31.8,17.5,7
Record_655871,REFER,58.2,High,0,0,0,0,2463.36,2598.13,-134.77,-251.44,12,11.58,87.3,Active HCSTC (90d): 7 lenders; Overdraft: 139 days,,12,27.7,15.5,3
Record_655945,REFER,82.3,Low,0,0,0,0,3184.6,2106.72,1077.88,961.21,12,3.67,77.3,Active HCSTC (90d): 6 lenders; Overdraft: 44 days,,30,27.8,17.5,7
Record_655996,REFER,54.3,High,0,0,0,0,3609.54,3689.74,-80.21,-196.87,13,12.85,66.3,Active HCSTC (90d): 5 lenders; Overdraft: 167 days,,12,23.8,15.5,3
Record_655998,REFER,82.3,Low,0,0,0,0,5624.07,1890.45,3733.62,3616.96,13,15.08,88.4,Active HCSTC (90d): 3 lenders; Overdraft: 196 days,,30,31.8,15.5,5
Record_656086,REFER,74.3,Low,0,0,0,0,5714.42,5411.31,303.11,186.44,13,1.92,53.6,Active HCSTC (90d): 2 lenders; Overdraft: 25 days,,30,17.8,19.5,7
Record_656263,REFER,61.3,Low,0,0,0,0,2340.03,2441.81,-101.78,-218.45,13,18.23,63,Active HCSTC (90d): 1 lenders; Overdraft: 237 days,,12,22.8,15.5,11
Record_656525,REFER,61.3,Low,0,0,0,0,3022.53,3941.1,-918.57,-1035.24,13,1.54,54.6,Overdraft: 20 days,,12,17.8,19.5,12
Record_656897,APPROVE,85.8,Low,350,5,140,700,3092.2,2362.15,730.05,590.05,8,3.88,70.2,Active HCSTC (90d): 1 lenders; Overdraft: 31 days,,30,27.3,17.5,11
Record_656939,APPROVE,78.7,Low,350,6,116.67,700,2365.56,575.35,1790.21,1673.54,13,19,92.7,Active HCSTC (90d): 2 lenders; Overdraft: 247 days,,30,30.2,15.5,3
Record_656971,REFER,74.3,Low,0,0,0,0,4246.52,1071.74,3174.78,3058.12,13,10.54,91.7,Active HCSTC (90d): 4 lenders; Failed payments (45d): 2; Overdraft: 137 days,,30,31.8,5.5,7
Record_656979,REFER,48.3,High,0,0,0,0,2366.29,2303.77,62.52,-54.15,13,16.62,69.1,Active HCSTC (90d): 11 lenders; Overdraft: 216 days,,12,23.8,5.5,7
Record_657018,REFER,88.3,Low,0,0,0,0,2741.04,2080.42,660.62,543.95,13,0.08,73.2,,,30,27.8,19.5,11
Record_657035,REFER,76.3,Low,0,0,0,0,2617.62,2333.58,284.04,167.37,13,19.31,93.9,Gambling: 0.1% of income; Active HCSTC (90d): 4 lenders; Overdraft: 251 days,,26,31.8,15.5,3
Record_657397,REFER,80.3,Low,0,0,0,0,2382.52,1380.63,1001.89,885.23,13,4.92,76.3,Active HCSTC (90d): 5 lenders; Overdraft: 64 days,,30,27.8,15.5,7
Record_657520,APPROVE,87.8,Low,350,5,140,700,3299.95,1243.96,2055.98,1915.98,13,4.69,81.9,Overdraft: 61 days,,30,31.3,15.5,11
Record_657601,REFER,78.7,Low,0,0,0,0,4120.74,2748.31,1372.42,1255.76,13,0.54,78.3,Active HCSTC (90d): 4 lenders,,30,26.2,19.5,3
Record_657622,REFER,66.3,Low,0,0,0,0,4316.18,1356.04,2960.14,2843.47,13,12.77,77.2,Active HCSTC (90d): 6 lenders; Failed payments (45d): 2; Overdraft: 166 days,,30,27.8,5.5,3
Record_657624,APPROVE,87.8,Low,350,6,116.67,700,3723.03,2227.14,1495.89,1379.22,13,4.54,83.4,Active HCSTC (90d): 1 lenders; Overdraft: 59 days,,30,29.3,17.5,11
Record_657637,REFER,78.3,Low,0,0,0,0,8864.28,1788.58,7075.7,6959.04,13,3.77,65.7,Active HCSTC (90d): 10 lenders; Overdraft: 49 days,,30,23.8,17.5,7
Record_657778,APPROVE,86.8,Low,350,6,116.67,700,2001.3,1381.95,619.35,502.68,11,0.36,70.1,,,30,25.3,19.5,12
Record_658424,REFER,64.7,Low,0,0,0,0,9495.34,3573.78,5921.56,5804.9,13,15.77,62.9,Active HCSTC (90d): 5 lenders; Failed payments (45d): 2; Overdraft: 205 days,,30,22.2,5.5,7
Record_658449,APPROVE,82.3,Low,350,6,116.67,700,6494.14,4402.9,2091.24,1974.57,13,9.92,92.5,Overdraft: 129 days,,30,31.8,15.5,5
Record_658708,APPROVE,61.8,Low,350,4,172.62,690.48,5498.15,3226.5,2271.65,2099.03,13,6.62,49.4,Overdraft: 86 days,,30,9.3,15.5,7
Record_658862,REFER,82.7,Low,0,0,0,0,5934.17,3676.74,2257.43,2140.76,13,16.31,86.2,Active HCSTC (90d): 13 lenders; Overdraft: 212 days,,30,30.2,15.5,7
Record_658901,APPROVE,74.3,Low,350,5,140,700,6393.17,167.34,6225.83,6085.83,13,7.85,59.3,Overdraft: 102 days,,30,16.8,15.5,12
Record_658950,APPROVE,76.9,Low,350,5,140,700,1723.3,343.86,1379.44,1239.44,2,6.5,50,Overdraft: 13 days,,30,17.4,19.5,10
Record_659150,APPROVE,77.3,Low,350,6,116.67,700,19256.51,4420.32,14836.19,14719.52,13,16.77,78.5,Gambling: 2.9% of income; Active HCSTC (90d): 1 lenders; Overdraft: 218 days,,30,27.8,13.5,6
Record_659732,REFER,80.7,Low,0,0,0,0,2219.07,1394.06,825.02,708.35,13,16.15,89.7,Active HCSTC (90d): 2 lenders; Overdraft: 210 days,,30,30.2,15.5,5
Record_659763,REFER,54.2,High,0,0,0,0,5077.94,5092.51,-14.57,-131.24,7,12,66,Active HCSTC (90d): 1 lenders; Overdraft: 84 days,,12,19.7,15.5,7
Record_660397,REFER,82.3,Low,0,0,0,0,3943,1917.51,2025.49,1908.83,13,22.08,82.4,Active HCSTC (90d): 7 lenders; Overdraft: 287 days,,30,31.8,13.5,7
Record_660632,APPROVE,93.3,Low,350,6,116.67,700,9830.37,4801.14,5029.22,4912.55,13,0.31,87,,,30,31.8,19.5,12
Record_660680,REFER,84.2,Low,0,0,0,0,1940.07,1277.4,662.67,546,13,0.38,89.1,Active HCSTC (90d): 4 lenders,,30,27.7,19.5,7
Record_660736,APPROVE,85.2,Low,350,6,116.67,700,4916.43,2358.08,2558.36,2441.69,13,4.15,92.5,Gambling: 0.2% of income; Overdraft: 54 days,,30,27.7,17.5,10
Record_660839,APPROVE,80.2,Low,350,5,140,700,3453.4,1811.9,1641.5,1501.5,13,0.38,79.7,,,30,25.7,19.5,5
Record_661008,REFER,80.8,Low,0,0,0,0,9184.82,5133.86,4050.96,3934.29,13,8.15,61.5,Overdraft: 106 days,,30,23.3,15.5,12
Record_661160,APPROVE,76.3,Low,350,6,116.67,700,4016.12,458.63,3557.48,3440.81,13,17.85,96.7,Active HCSTC (90d): 1 lenders; Failed payments (45d): 1; Overdraft: 232 days,,30,31.8,5.5,9
Record_661251,REFER,72.7,Low,0,0,0,0,3708.33,3274.86,433.47,316.8,13,6.38,73.6,Gambling: 0.3% of income; Active HCSTC (90d): 4 lenders; Overdraft: 83 days,,28,26.2,15.5,3
Record_661687,REFER,74.3,Low,0,0,0,0,3971.62,4418.21,-446.58,-563.25,13,0.92,88,Active HCSTC (90d): 1 lenders; Overdraft: 12 days,,12,31.8,19.5,11
Record_661773,APPROVE,84.3,Low,350,6,116.67,700,3664.84,1585.44,2079.4,1962.73,13,19.62,93.1,Active HCSTC (90d): 3 lenders; Overdraft: 255 days,,30,31.8,15.5,7
Record_661884,REFER,82.3,Low,0,0,0,0,4158.19,2488.45,1669.74,1553.08,13,1.23,78.5,Active HCSTC (90d): 7 lenders; Overdraft: 16 days,,30,27.8,19.5,5
Record_662229,REFER,62.3,Low,0,0,0,0,3437.02,4418.05,-981.03,-1097.69,13,0.69,60.2,Active HCSTC (90d): 4 lenders,,12,23.8,19.5,7
Record_662307,DECLINE,0,Very High,0,0,0,0,5281.39,5870.62,-589.23,-705.9,13,12.23,14.3,,Behavioural gate: extremely low income stability score (14.3 < 25),,,,
Record_662337,REFER,58.2,High,0,0,0,0,2121.25,1646.61,474.64,357.98,13,10.69,33,Active HCSTC (90d): 2 lenders; Overdraft: 139 days,,30,9.7,15.5,3
Record_662408,REFER,78.3,Low,0,0,0,0,3884.38,3611.31,273.07,156.41,13,13.31,86.8,Active HCSTC (90d): 18 lenders; Overdraft: 173 days,,28,31.8,15.5,3
Record_662845,APPROVE,90.3,Low,350,6,116.67,700,3656.99,2584.6,1072.38,955.71,13,0.46,88.6,Active HCSTC (90d): 2 lenders,,30,31.8,19.5,9
Record_663029,APPROVE,71.9,Low,350,6,116.67,700,3529.3,3128.76,400.54,283.87,13,9.62,97,Gambling: 1.3% of income; Active HCSTC (90d): 3 lenders; Failed payments (45d): 1; Overdraft: 125 days,,30,33.4,5.5,3
Record_663321,REFER,76.2,Low,0,0,0,0,2624.32,1309.58,1314.74,1198.08,13,10.54,71.3,Active HCSTC (90d): 5 lenders; Overdraft: 137 days,,30,23.7,15.5,7
Record_663950,REFER,79.8,Low,0,0,0,0,2360.77,2013.99,346.78,230.12,13,15.23,82.6,Active HCSTC (90d): 6 lenders; Overdraft: 198 days,,30,29.3,15.5,5
Record_664100,APPROVE,92.9,Low,350,6,116.67,700,2427.02,1958.88,468.15,351.48,13,0.69,90.5,,,30,33.4,19.5,10
Record_664442,REFER,86.3,Low,0,0,0,0,2716.7,2323.03,393.66,277,13,0.08,82.7,Active HCSTC (90d): 5 lenders,,30,31.8,19.5,5
Record_664818,APPROVE,84.7,Low,350,6,116.67,700,2174.38,1934.35,240.03,123.36,13,0.31,85,,,28,30.2,19.5,7
Record_665005,REFER,78.3,Low,0,0,0,0,5916.59,5037.64,878.95,762.28,13,1.92,87.3,Gambling: 10.6% of income; Active HCSTC (90d): 9 lenders; Overdraft: 25 days,,30,31.8,19.5,-3
Record_665216,APPROVE,90.3,Low,350,6,116.67,700,5318,4686.71,631.3,514.63,12,2.42,83.1,Active HCSTC (90d): 1 lenders; Overdraft: 29 days,,30,31.8,19.5,9
Record_665287,APPROVE,91.4,Low,350,5,140,700,2225.79,165.32,2060.47,1920.47,8,3.5,84.7,Gambling: 0.6% of income; Active HCSTC (90d): 1 lenders; Overdraft: 28 days,,30,32.9,19.5,9
Record_665785,REFER,79.3,Low,0,0,0,0,4067.68,2784.4,1283.29,1166.62,13,3.69,90.8,Gambling: 3.0% of income; Active HCSTC (90d): 5 lenders; Overdraft: 48 days,,30,31.8,17.5,0
Record_665961,APPROVE,80.7,Low,350,5,140,700,2539.76,2108.69,431.06,291.06,13,0.62,97,Failed payments (45d): 1,,30,28.2,17.5,5
Record_666150,REFER,83.2,Low,0,0,0,0,9702.75,1724.73,7978.02,7861.36,13,9.69,93.7,Active HCSTC (90d): 3 lenders; Overdraft: 126 days,,30,30.2,15.5,7.5
Record_666389,DECLINE,0,Very High,0,0,0,0,13831.89,7616.17,6215.72,6099.05,13,2,19.8,,Behavioural gate: extremely low income stability score (19.8 < 25),,,,
Record_667629,DECLINE,0,Very High,0,0,0,0,28471.31,25046.49,3424.81,3308.15,13,3.54,0,,Behavioural gate: extremely low income stability score (0.0 < 25),,,,
Record_667658,APPROVE,86.7,Low,350,5,140,700,5171.07,1967.47,3203.59,3063.59,13,3.46,85.8,Overdraft: 45 days,,30,27.2,17.5,12
Record_667881,REFER,66.3,Low,0,0,0,0,7010.43,3364.6,3645.83,3529.16,13,12.92,52.2,Active HCSTC (90d): 11 lenders; Overdraft: 168 days,,30,17.8,15.5,3
Record_667956,APPROVE,80.5,Low,350,5,140,700,3242.58,257.16,2985.42,2845.42,2,0,50,,,30,19,21.5,10
Record_668167,APPROVE,70.3,Low,350,6,116.67,700,30568.89,10486.36,20082.53,19965.86,13,2.38,59,Gambling: 2.3% of income; Overdraft: 31 days,,30,17.8,17.5,5
Record_668551,APPROVE,68.3,Low,350,5,140,700,4862.89,603.92,4258.97,4118.97,13,7.23,37.1,Active HCSTC (90d): 1 lenders; Overdraft: 94 days,,30,11.8,15.5,11
Record_668582,REFER,78.3,Low,0,0,0,0,3257.61,2813.21,444.4,327.73,13,1,67.9,Active HCSTC (90d): 7 lenders; Overdraft: 13 days,,28,23.8,19.5,7
Record_668711,APPROVE,62.2,Low,350,4,172.62,690.48,4735.94,3557.4,1178.54,1005.92,13,7.92,68.8,Failed payments (45d): 1; Overdraft: 103 days,,30,18.7,5.5,8
Record_668864,REFER,78.7,Low,0,0,0,0,3562.95,2248.62,1314.33,1197.66,12,1.67,70.3,Active HCSTC (90d): 2 lenders; Overdraft: 20 days,,30,26.2,19.5,3
Record_669044,REFER,81.2,Low,0,0,0,0,2687.48,2351.6,335.88,219.22,13,16.46,81.7,Active HCSTC (90d): 3 lenders; Overdraft: 214 days,,30,30.2,15.5,5.5
Record_669216,APPROVE,79.9,Low,350,6,116.67,700,4323.37,706.48,3616.89,3500.22,13,18,92.6,Active HCSTC (90d): 1 lenders; Failed payments (45d): 1; Overdraft: 234 days,,30,33.4,5.5,11
Record_670737,REFER,67.8,Low,0,0,0,0,7618.05,4386.91,3231.13,3114.47,13,0.38,42.4,Active HCSTC (90d): 6 lenders,,30,11.3,19.5,7
Record_671497,APPROVE,80.7,Low,350,6,116.67,700,3519.23,3086.52,432.7,316.03,13,0.08,90.5,Active HCSTC (90d): 3 lenders,,30,30.2,17.5,3
Record_671553,REFER,72.7,Low,0,0,0,0,3525.19,2973.59,551.61,434.94,13,17.62,81,Failed payments (45d): 2; Overdraft: 229 days,,30,29.2,5.5,8
Record_672147,REFER,63.8,Low,0,0,0,0,2091.01,310.29,1780.72,1664.06,12,8.67,67.5,Active HCSTC (90d): 1 lenders; Failed payments (45d): 2; Overdraft: 104 days,,30,21.3,5.5,7
Record_672171,REFER,64.658,Low,0,0,0,0,3913.25,3781.79,131.46,14.79,13,16.92,83,Active HCSTC (90d): 4 lenders; Overdraft: 220 days; High DTI: 52.8%,,11.958,30.2,15.5,7
Record_672265,APPROVE,65.7,Low,350,5,140,700,5146.31,4946.11,200.21,60.21,13,17.31,41.8,Overdraft: 225 days,,28,10.2,15.5,12
Record_672271,REFER,86.7,Low,0,0,0,0,4314.15,2814.12,1500.03,1383.36,12,2,93.9,Overdraft: 24 days,,30,30.2,19.5,7
Record_672583,REFER,70.3,Low,0,0,0,0,3763.83,1944,1819.82,1703.16,12,17.33,63.4,Active HCSTC (90d): 3 lenders; Overdraft: 208 days,,28,23.8,15.5,3
Record_673225,REFER,78.3,Low,0,0,0,0,4574.1,4006.59,567.52,450.85,13,0.85,77.3,Active HCSTC (90d): 7 lenders; Overdraft: 11 days,,28,27.8,19.5,3
Record_673400,APPROVE,77.3,Low,350,6,116.67,700,3731.36,3046.81,684.56,567.89,13,11.54,67.7,Overdraft: 150 days,,30,23.8,15.5,8
Record_673410,APPROVE,82.2,Low,350,6,116.67,700,49148.45,2383.4,46765.05,46648.38,13,3.77,86.3,Active HCSTC (90d): 1 lenders; Overdraft: 49 days,,30,27.7,17.5,7
Record_673869,REFER,47.3,High,0,0,0,0,4976.75,6138.03,-1161.28,-1277.95,13,24.85,89.1,Active HCSTC (90d): 5 lenders; Failed payments (45d): 2; Overdraft: 323 days; High DTI: 50.6%,,5,31.8,5.5,5
Record_674146,APPROVE,82.3,Low,350,6,116.67,700,2695.05,1975.26,719.79,603.12,12,3.67,76.3,Active HCSTC (90d): 2 lenders; Overdraft: 44 days,,30,27.8,17.5,7
Record_674190,REFER,82.3,Low,0,0,0,0,11106.68,6979.22,4127.45,4010.79,12,0,67.8,Active HCSTC (90d): 1 lenders,,30,23.8,21.5,7
Record_674283,REFER,70.3,Low,0,0,0,0,4857.91,3614.24,1243.67,1127,13,20.15,95.7,Active HCSTC (90d): 4 lenders; Failed payments (45d): 2; Overdraft: 262 days,,28,31.8,5.5,5
Record_674315,REFER,80.3,Low,0,0,0,0,6262.62,3715.46,2547.16,2430.49,13,16.92,77.3,Active HCSTC (90d): 7 lenders; Overdraft: 220 days,,30,27.8,15.5,7
Record_674329,REFER,64.3,Low,0,0,0,0,3218.56,2847.44,371.12,254.45,12,0.92,34,Active HCSTC (90d): 1 lenders; Overdraft: 11 days; High DTI: 40.5%,,26,11.8,19.5,7
Record_674674,APPROVE,86.3,Low,350,5,140,700,6651.95,1529.72,5122.23,4982.23,13,1,79,Overdraft: 13 days,,30,24.8,19.5,12
Record_674717,APPROVE,72.3,Low,350,6,116.67,700,3596.18,1448.91,2147.27,2030.6,2,1,50,Active HCSTC (90d): 3 lenders,,30,15.3,19.5,7.5
Record_674726,REFER,84.7,Low,0,0,0,0,2314.23,1496.14,818.09,701.42,12,0.08,97.1,Active HCSTC (90d): 2 lenders,,30,30.2,19.5,5
Record_674748,REFER,82.3,Low,0,0,0,0,2855.58,2659.28,196.3,79.63,13,2.92,85.2,Active HCSTC (90d): 1 lenders; Overdraft: 38 days,,26,31.8,17.5,7
Record_674800,REFER,80.3,Low,0,0,0,0,7393.55,6518.3,875.25,758.58,12,20.83,91.8,Active HCSTC (90d): 16 lenders; Overdraft: 250 days; High DTI: 41.9%,,26,31.8,15.5,7
Record_674822,REFER,71.3,Low,0,0,0,0,6977.61,7416.2,-438.59,-555.26,13,3.23,88.9,Active HCSTC (90d): 7 lenders; Overdraft: 42 days,,12,31.8,17.5,10
Record_674872,REFER,80.7,Low,0,0,0,0,4959.75,3534.36,1425.39,1308.73,13,21.92,83.5,Active HCSTC (90d): 14 lenders; Overdraft: 285 days,,28,30.2,15.5,7
Record_674958,REFER,82.3,Low,0,0,0,0,6897.18,3272.98,3624.2,3507.53,9,3.89,83.2,Active HCSTC (90d): 17 lenders; Overdraft: 35 days,,28,31.8,17.5,5
Record_675330,APPROVE,74.7,Low,350,6,116.67,700,15267.52,4692.13,10575.39,10458.72,2,4.5,50,Active HCSTC (90d): 2 lenders,,30,16.2,19.5,9
Record_675344,REFER,78.7,Low,0,0,0,0,3419.92,2964.58,455.35,338.68,13,11.69,91.5,Active HCSTC (90d): 11 lenders; Overdraft: 152 days,,30,30.2,15.5,3
Record_675374,REFER,72.3,Low,0,0,0,0,2302.74,2477.84,-175.1,-291.77,13,1.85,94.8,Active HCSTC (90d): 1 lenders; Overdraft: 24 days,,12,31.8,19.5,9
Record_675407,DECLINE,0,Very High,0,0,0,0,41161.59,3790.53,37371.06,37254.39,13,8.85,0,,Behavioural gate: extremely low income stability score (0.0 < 25),,,,
Record_675525,REFER,76.3,Low,0,0,0,0,4157.48,2756.58,1400.9,1284.23,13,0.15,67.5,Active HCSTC (90d): 4 lenders,,30,23.8,19.5,3
Record_675562,REFER,52.7,High,0,0,0,0,6038.15,4536.46,1501.69,1385.02,13,23,45.4,Active HCSTC (90d): 8 lenders; Failed payments (45d): 2; Overdraft: 299 days,,30,10.2,5.5,7
Record_675565,REFER,80.3,Low,0,0,0,0,5156.67,3401.37,1755.3,1638.63,13,0.62,61.7,Active HCSTC (90d): 3 lenders,,30,23.8,19.5,7
Record_675662,DECLINE,0,Very High,0,0,0,0,1805.19,2511.88,-706.69,-823.36,13,13.15,12.1,,Behavioural gate: extremely low income stability score (12.1 < 25),,,,
Record_675761,REFER,66.3,Low,0,0,0,0,3848.35,2282.04,1566.31,1449.65,13,3.77,27.8,Active HCSTC (90d): 6 lenders; Overdraft: 49 days,,30,11.8,17.5,7
